"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Sir jadeja was upset abt only 1 t20 match in a bilateral  series so BCCI came up with the idea of IPL.so all the fans of ipl plz thank SRJ",FALSE,2821,NA,2013-04-11 19:23:54,FALSE,NA,"322429821177171968",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",2401,FALSE,FALSE,NA,NA
"@3lok_cricketfan beamer sounds good and forward me a pic also",FALSE,258,"3lok_cricketfan",2013-04-11 08:20:10,FALSE,"322186901710839808","322262785910263808","129522691","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",60,FALSE,FALSE,NA,NA
"God realised RAJNI sir is getting old so he created sir ravindra jadeja",FALSE,4722,NA,2013-04-09 09:06:47,FALSE,NA,"321549742846914560",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",5006,FALSE,FALSE,NA,NA
"Sir jadeja once wanted to make a silt mountain to play as a kid now v all call it mt. Everest",FALSE,2519,NA,2013-04-09 09:05:30,FALSE,NA,"321549418736279552",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",2019,FALSE,FALSE,NA,NA
"Leaving for practice at 3pm but the stadium is coming so tht sir jadeja can practice",FALSE,2113,NA,2013-04-09 09:00:58,FALSE,NA,"321548279173222400",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",1800,FALSE,FALSE,NA,NA
"RT @awish_4_u: @msdhoni Sir alfred noble gets Lord ravindra jadeja award",FALSE,0,NA,2013-04-09 08:58:25,FALSE,NA,"321547637864161281",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",473,TRUE,FALSE,NA,NA
"RT @Asli_Rajnikanth: @msdhoni U have been retained as captain for next century.  By Order, Sri Sri Ravindra Jadeja.",FALSE,0,NA,2013-04-09 08:57:30,FALSE,NA,"321547406812520449",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",289,TRUE,FALSE,NA,NA
"@jst_fr_fun no the umpire asks sir jadeja if he can give the batsman out",FALSE,536,"itsdhruvism",2013-04-09 08:55:11,FALSE,"321545370226282496","321546823288369152","753128881","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",386,FALSE,FALSE,NA,NA
"Whenever sir jadeja makes an error its an invention and on a daily basis v get plenty of those,all patent pending",FALSE,2105,NA,2013-04-09 08:48:07,FALSE,NA,"321545043355762688",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",1833,FALSE,FALSE,NA,NA
"Sir jadeja doesn't run to take the catch but the ball finds him and lands on his hand",FALSE,3387,NA,2013-04-09 08:45:09,FALSE,NA,"321544297390436352",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",3132,FALSE,FALSE,NA,NA
"Wen sir jadeja drives his jeep, his jeep remains still and road moves and wen he goes in to bat the pavillion moves to the wkt",FALSE,2742,NA,2013-04-09 08:43:11,FALSE,NA,"321543804886872064",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",2472,FALSE,FALSE,NA,NA
"RT @gurunath75: @msdhoni @ImRaina Twitter follows Sir Ravindra Jadeja",FALSE,0,NA,2013-04-09 08:40:03,FALSE,NA,"321543014088593408",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",394,TRUE,FALSE,NA,NA
"New pepsi fan can limited edition I clicked, OH YES ABHI http://t.co/m2nvmA3y5D",FALSE,947,NA,2013-04-09 06:15:06,FALSE,NA,"321506536243478528",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",212,FALSE,FALSE,NA,NA
"Birthday boy aditya at todays meet and greet at chandigarh @7upindia http://t.co/Q5AtDjHOAL",FALSE,836,NA,2013-04-09 06:10:43,FALSE,NA,"321505434601156608",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",126,FALSE,FALSE,NA,NA
"Sir ravindra jadeja shooting for @7upindia. http://t.co/KOjzQK7qsC",FALSE,1102,NA,2013-04-09 05:40:43,FALSE,NA,"321497883633389568",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",722,FALSE,FALSE,NA,NA
"Heart rate goes up wen I watch games like these.being part of a game doesn't make my heart pound so much",FALSE,1395,NA,2013-04-07 18:05:12,FALSE,NA,"320960466153250816",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",1158,FALSE,FALSE,NA,NA
"1st super over of IPL6, can't wait",FALSE,1044,NA,2013-04-07 18:00:35,FALSE,NA,"320959301155946497",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",558,FALSE,FALSE,NA,NA
"Chennai airport, waiting to catch the flight http://t.co/bXgqGwGvQN",FALSE,975,NA,2013-04-07 11:47:43,FALSE,NA,"320865466463682560",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","msdhoni",273,FALSE,FALSE,NA,NA
